ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 55,,,00 08 00,00h08m00s,129 59.6,-39 59.6,-39°59.6',"very bright, very large, very much extended, triple nucleus"
NGC 56,,,00 08 09,00h08m09s,78 20.0,11 40,11°40',"extremely faint, extremely large, diffuse"
NGC 57,,,00 08 18,00h08m18s,73 26.9,16 33.1,16°33.1',"faint, small, round, suddenly brighter middle"
NGC 58,,,00 08 28,00h08m28s,97 56.8,-7 56.8,-7°56.8',"very faint, pretty small, round"
NGC 59,,,00 08 30,00h08m30s,112 13,-22 13,-22°13',"very faint, pretty small, irregularly round, gradually brighter middle"
NGC 60,,,00 08 48,00h08m48s,91 04.9,-1 4.9,-1°4.9',"extremely faint, very small, round, a little brighter middle"
NGC 61,,,00 09 15,00h09m15s,97 05.8,-7 5.8,-7°5.8',"very faint, small, irregularly round, pretty suddenly a very little brighter middle"
NGC 62,,,00 09 57,00h09m57s,104 15.9,-14 15.9,-14°15.9',"faint, very small, round, gradually a little brighter middle"
NGC 63,,,00 10 33,00h10m33s,79 19.7,10 40.3,10°40.3',"pretty faint, small, round, suddenly brighter middle"
NGC 64,,,00 10 38,00h10m38s,97 34.6,-7 34.6,-7°34.6',"most extremely faint, very small, round, very difficult"
NGC 65,,,00 10 53,00h10m53s,113 40.0,-23 40,-23°40',"extremely faint, very small, round, gradually brighter middle, western of 2"
NGC 66,,,00 10 59,00h10m59s,113 44.0,-23 44,-23°44',"extremely faint, pretty small, extended 225°, 9th magnitude star 1 arcmin to north, eastern of 2"
NGC 67,,,00 10 59,00h10m59s,60 43.0,29 17,29°17',"extremely faint, very small, round"
NGC 68,,,00 11 05,00h11m05s,60 42.2,29 17.8,29°17.8',"extremely faint, large, 3 or 4 stars plus nebulosity"
NGC 69,,,00 11 07,00h11m07s,60 44.1,29 15.9,29°15.9',"extremely faint, very small, round"
NGC 70,,,00 11 10,00h11m10s,60 41.8,29 18.2,29°18.2',"extremely faint, very small, round, between 2 faint stars"
NGC 71,,,00 11 11,00h11m11s,60 42.7,29 17.3,29°17.3',"extremely faint, very small, round"
NGC 72,,,00 11 16,00h11m16s,60 44.1,29 15.9,29°15.9',"extremely faint, very small, round"
NGC 73,,,00 11 36,00h11m36s,106 05.5,-16 5.5,-16°5.5',"very faint, small, round, extremely faint double star close to east"
NGC 74,,,00 11 42,00h11m42s,60 43.7,29 16.3,29°16.3',"extremely faint, small, extended, last of 6"
NGC 75,,,00 12 08,00h12m08s,84 18.9,5 41.1,5°41.1',"very faint, very small, round"
NGC 76,,,00 12 27,00h12m27s,60 51,29 9,29°9',"very faint, small, brighter middle"
NGC 77,,,00 12 30,00h12m30s,113 18.0,-23 18,-23°18',"extremely faint, very small, irregular figure (due to a star?), 9th magnitude star 3 arcmin to the west"
NGC 78,,,00 13 17,00h13m17s,89 55.3,0 4.7,0°4.7',"very faint, small, round"
NGC 79,,,00 13 45,00h13m45s,68 12.5,21 47.5,21°47.5',"very faint, small, a very little brighter middle"
