ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 1501,,,03 54 59,03h54m59s,29 27.9,60 32.1,60°32.1',"a planetary, pretty bright, pretty small, very little extended, 1 arcmin diameter"
NGC 1502,,,03 55 10,03h55m10s,28 03.9,61 56.1,61°56.1',"a cluster, pretty rich, considerably compressed, irregular figure"
NGC 1503,,,03 55 25,03h55m25s,156 25.7,-66 25.7,-66°25.7',"extremely faint, pretty small, round, 10th magnitude star to northwest"
NGC 1504,,,03 55 35,03h55m35s,99 43.2,-9 43.2,-9°43.2',"extremely faint, small, round, gradually brighter middle"
NGC 1505,,,03 55 35,03h55m35s,99 42.2,-9 42.2,-9°42.2',"extremely faint, small, round, gradually brighter middle"
NGC 1506,,,03 56 45,03h56m45s,142 58.1,-52 58.1,-52°58.1',"very most extremely faint, small, round, between 2 stars of magnitude 12 and 13"
NGC 1507,,,03 57 20,03h57m20s,92 35.0,-2 35,-2°35',"very faint, pretty large, much extended, a very little brighter middle, extremely mottled but not resolved"
NGC 1508,,,03 57 21,03h57m21s,64 58.6,25 1.4,25°1.4',"very faint, very small, round, brighter middle, mottled but not resolved"
NGC 1509,,,03 57 29,03h57m29s,101 33.8,-11 33.8,-11°33.8',"very faint, very small, a little extended, faint star near to west"
NGC 1510,,,03 59 00,03h59m00s,133 47.6,-43 47.6,-43°47.6',"faint, pretty large, round, very gradually much brighter middle"
NGC 1511,,,03 59 03,03h59m03s,158 01.4,-68 1.4,-68°1.4',"pretty bright, pretty small, much extended 121.5°, gradually brighter middle"
NGC 1512,,,03 59 20,03h59m20s,133 44.4,-43 44.4,-43°44.4',"a globular cluster, bright, considerably large, round, brighter middle, partially resolved, some stars seen"
NGC 1513,,,03 59 36,03h59m36s,40 51.8,49 8.2,49°8.2',"a cluster, large, very rich, pretty compressed, stars very large"
NGC 1514,,,04 00 30,04h00m30s,59 35.9,30 24.1,30°24.1',
NGC 1515,,,04 00 39,04h00m39s,144 29.4,-54 29.4,-54°29.4',"bright, large, very much extended 10°, brighter middle"
NGC 1516,,,04 01 24,04h01m24s,99 12.4,-9 12.4,-9°12.4',"most extremely faint, small, extended, pretty suddenly much brighter middle, extremely mottled but not resolved"
NGC 1517,,,04 01 37,04h01m37s,81 43.6,8 16.4,8°16.4',"very faint, very small, round, mottled but not resolved, 9th or 10th magnitude star to southeast"
NGC 1518,,,04 01 44,04h01m44s,111 33.0,-21 33,-21°33',"bright, large, pretty much extended, gradually brighter middle, 8th magnitude star to southwest"
NGC 1519,,,04 01 50,04h01m50s,107 34.1,-17 34.1,-17°34.1',"very faint, small, a little extended, very small star involved"
NGC 1520,,,04 02 08,04h02m08s,167 13.0,-77 13,-77°13',"a cluster, pretty large, a little rich, stars of 9th to 10th magnitude"
NGC 1521,,,04 02 10,04h02m10s,111 25.6,-21 25.6,-21°25.6',"pretty bright, round, brighter middle"
NGC 1522,,,,,,,,
NGC 1523,,,04 02 48,04h02m48s,144 28.6,-54 28.6,-54°28.6',"very faint, round"
NGC 1524,,,04 03 35,04h03m35s,99 09.9,-9 9.9,-9°9.9',"extremely faint, pretty small, round, gradually brighter middle, part of a double nebula with NGC 1525, separated by 0.5 arcmin at a position angle of 340°"
NGC 1525,,,04 03 35,04h03m35s,99 09.9,-9 9.9,-9°9.9',"extremely faint, pretty small, round, gradually brighter middle, part of a double nebula with NGC 1524, separated by 0.5 arcmin at a position angle of 340°"
NGC 1526,,,04 04 09,04h04m09s,156 12.6,-66 12.6,-66°12.6',"extremely faint, very small, round, gradually a little brighter middle"
NGC 1527,,,04 04 18,04h04m18s,138 15.9,-48 15.9,-48°15.9',"pretty bright, pretty small, extended 77°, very suddenly much bright middle and round nucleus"
NGC 1528,,,04 04 37,04h04m37s,39 07.2,50 52.8,50°52.8',"a cluster, bright, very rich, considerably compressed"
NGC 1529,,,04 05 33,04h05m33s,153 16.1,-63 16.1,-63°16.1',"very faint, small, round, gradually brighter middle"
NGC 1530,,,04 05 42,04h05m42s,15 03.2,74 56.8,74°56.8',"pretty bright, large"
NGC 1531,,,04 06 35,04h06m35s,123 12.6,-33 12.6,-33°12.6',"pretty bright, pretty large, round, brighter middle, northwestern of 2"
NGC 1532,,,04 06 40,04h06m40s,123 14.1,-33 14.1,-33°14.1',"bright, very large, very much extended 32°, pretty suddenly much brighter middle"
NGC 1533,,,04 06 51,04h06m51s,146 29.3,-56 29.3,-56°29.3',"very bright, very large, round, suddenly much brighter middle, 2 stars of magnitude 10 to northeast"
NGC 1534,,,04 07 00,04h07m00s,153 09.4,-63 9.4,-63°9.4',"faint, small, round, very small star 3/4 of a degree to southeast"
NGC 1535,,,04 07 44,04h07m44s,103 05.8,-13 5.8,-13°5.8',"a planetary nebula, very bright, small, round, pretty suddenly or very suddenly brighter middle, mottled but not resolved"
NGC 1536,,,04 08 04,04h08m04s,146 50.4,-56 50.4,-56°50.4',"very faint, round, pretty large, very little brighter middle"
NGC 1537,,,04 08 18,04h08m18s,121 54.7,-31 54.7,-31°54.7',"very bright, pretty small, a little extended, pretty suddenly very much brighter middle"
NGC 1538,,,04 08 35,04h08m35s,103 35.6,-13 35.6,-13°35.6',"extremely faint, very small, round, gradually brighter middle"
NGC 1539,,,04 09 25,04h09m25s,63 35,26 25,26°25',"very faint, very small, gradually brighter middle"
NGC 1540,,,04 09 33,04h09m33s,118 50.3,-28 50.3,-28°50.3',"very faint, very small, extended, gradually a very little brighter middle, mottled but not resolved"
NGC 1541,,,04 09 48,04h09m48s,89 32,0 28,0°28',"very faint, small"
NGC 1542,,,04 09 51,04h09m51s,85 34,4 26,4°26',"very faint, small, extended"
NGC 1543,,,04 09 59,04h09m59s,148 05.6,-58 5.6,-58°5.6',"bright, pretty large, extended, suddenly much brighter middle and nucleus equal to an 11th magnitude star"
NGC 1544,,,04 10 10,04h10m10s,04 03.3,85 56.7,85°56.7',"very faint, very small"
NGC 1545,,,04 10 25,04h10m25s,40 05.7,49 54.3,49°54.3',"a cluster, pretty rich, a little compressed, stars large"
NGC 1546,,,04 11 38,04h11m38s,146 25.0,-56 25,-56°25',"pretty bright, a little extended, gradually brighter middle and extended nucleus, double star to west"
NGC 1547,,,04 11 40,04h11m40s,108 13.6,-18 13.6,-18°13.6',"pretty faint, pretty small, irregularly round (a cluster or nebula with stars involved?)"
NGC 1548,,,04 11 46,04h11m46s,53 25.8,36 34.2,36°34.2',"a cluster, very large, a little rich, a little compressed, stars from 10th to 12th magnitude"
NGC 1549,,,04 12 09,04h12m09s,145 55.8,-55 55.8,-55°55.8',"bright, pretty small, round"
NGC 1550,,,04 12 21,04h12m21s,87 56.2,2 3.8,2°3.8',"very faint, small, round, 13th magnitude star near"
NGC 1551,,,04 12 23,04h12m23s,88 55.6,1 4.4,1°4.4',"faint, very small, round, probably = (GC) 835"
NGC 1552,,,04 13 10,04h13m10s,91 02.3,-1 2.3,-1°2.3',"considerably faint, pretty small, a little extended, very gradually brighter middle, 11th magnitude star to southwest"
NGC 1553,,,04 13 11,04h13m11s,146 07.8,-56 7.8,-56°7.8',"very bright, pretty small, round, gradually much brighter middle, among 3 stars"
NGC 1554,,,04 13 33,04h13m33s,70 49.0,19 11,19°11',
NGC 1555,,,04 13 48,04h13m48s,70 48.8,19 11.2,19°11.2',"a magnificent or otherwise interesting object, very faint, small, variable (Auwers 20)"
NGC 1556,,,04 13 57,04h13m57s,140 30.2,-50 30.2,-50°30.2',"considerably faint, small, round, very gradually a little brighter middle"
NGC 1557,,,04 14 01,04h14m01s,160 46.4,-70 46.4,-70°46.4',"a cluster, very little compressed, about 20 scattered stars"
NGC 1558,,,04 14 56,04h14m56s,135 22.0,-45 22,-45°22',"pretty faint, small, extended, gradually brighter middle"
NGC 1559,,,04 15 56,04h15m56s,153 07.8,-63 7.8,-63°7.8',"very bright, very large, much extended, very gradually pretty much brighter middle, 14th magnitude star attached on north"
NGC 1560,,,04 16 03,04h16m03s,18 25.0,71 35,71°35',"very faint, large, extended, 9.3 magnitude star to southwest"
NGC 1561,,,04 16 38,04h16m38s,106 11.3,-16 11.3,-16°11.3',"very faint, very small, a little extended 170°, gradually a little brighter middle, 8th magnitude star 6 seconds to west"
NGC 1562,1.0,,04 16 40,04h16m40s,106 06.3,-16 6.3,-16°6.3',"very faint, extremely small, round, gradually a little brighter middle"
NGC 1563,1.0,,04 16 40,04h16m40s,106 04.3,-16 4.3,-16°4.3',"extremely faint, very small, round, a little brighter middle, a double nebula with NGC 1564. The second IC lists a corrected position (per Howe) of RA 04 16 32, NPD 106 03.7. <br class="
NGC 1564,1.0,,04 16 40,04h16m40s,106 04.3,-16 4.3,-16°4.3',"extremely faint, very small, round, a little brighter middle, a double nebula with NGC 1563. The second IC lists a corrected position (per Howe) of RA 04 16 39, NPD 106 04.1<br class="
NGC 1565,1.0,,04 16 40,04h16m40s,106 06.3,-16 6.3,-16°6.3',"extremely faint, pretty small, a little extended"
NGC 1566,,,04 16 52,04h16m52s,145 16.6,-55 16.6,-55°16.6',"bright, very large, very gradually then suddenly very much brighter middle, 15 seconds of time diameter in RA"
NGC 1567,,,04 17 09,04h17m09s,138 35.4,-48 35.4,-48°35.4',"faint, small, round, brighter middle"
NGC 1568,,,04 17 14,04h17m14s,91 04.8,-1 4.8,-1°4.8',"extremely faint, very small, round, nearly between 2 stars"
NGC 1569,,,04 17 36,04h17m36s,25 28.1,64 31.9,64°31.9',"pretty bright, small, a little extended, brighter nucleus and middle, 9.5 magnitude star 1 arcmin to north"
NGC 1570,,,04 17 42,04h17m42s,133 47.5,-43 47.5,-43°47.5',"faint, small, round, gradually brighter middle"
NGC 1571,,,04 17 46,04h17m46s,133 57.0,-43 57,-43°57',"very faint, small, round, gradually brighter middle, double star to northeast"
NGC 1572,,,04 17 59,04h17m59s,130 55.1,-40 55.1,-40°55.1',"pretty faint, small, round, 13th magnitude star 1 arcmin to northeast"
NGC 1573,,,04 18 16,04h18m16s,17 04.0,72 56,72°56',"very faint, small, magnitude 9.5 star to east"
NGC 1574,,,04 19 13,04h19m13s,147 17.9,-57 17.9,-57°17.9',"pretty bright, small, round, pretty gradually brighter middle, 2 small (faint) stars to southeast"
NGC 1575,,,04 19 17,04h19m17s,100 25.2,-10 25.2,-10°25.2',"very faint, pretty small, round, 9.5 magnitude star 2 arcmin to south"
NGC 1576,,,04 19 24,04h19m24s,93 57.0,-3 57,-3°57',"extremely faint, brighter middle, between 2 stars"
NGC 1577,,,04 19 39,04h19m39s,100 26.0,-10 26,-10°26',"very faint, pretty large, round, a little brighter middle, star near to south"
NGC 1578,,,04 20 12,04h20m12s,141 55.2,-51 55.2,-51°55.2',"pretty faint, small, round, brighter middle"
NGC 1579,,,04 21 03,04h21m03s,55 01.9,34 58.1,34°58.1',"pretty bright, very large, irregularly round, much brighter middle, 8th magnitude star 2 arcmin distant at position angle 350°"
NGC 1580,,,04 21 25,04h21m25s,95 29.6,-5 29.6,-5°29.6',"very faint, very small, round, mottled but not resolved"
NGC 1581,,,04 21 37,04h21m37s,145 15.8,-55 15.8,-55°15.8',"faint, small, extended, gradually a little brighter middle"
NGC 1582,,,04 22 09,04h22m09s,46 27.6,43 32.4,43°32.4',"a cluster, very large, pretty rich, a little compressed, stars large (bright)"
NGC 1583,,,04 22 40,04h22m40s,107 56.1,-17 56.1,-17°56.1',"faint, very small, round, suddenly brighter middle and nucleus"
NGC 1584,,,04 22 40,04h22m40s,107 51.1,-17 51.1,-17°51.1',"faint, extremely small, round, suddenly brighter middle and nucleus"
NGC 1585,,,04 22 58,04h22m58s,132 27.7,-42 27.7,-42°27.7',"pretty faint, small, round, gradually brighter middle, 12th magnitude star at position angle 287.8°"
NGC 1586,,,04 23 05,04h23m05s,90 50.1,-0 50.1,-0°50.1',"very faint, irregular figure, very little brighter middle, between a double star and a 14th magnitude star"
NGC 1587,,,04 23 28,04h23m28s,89 38.8,0 21.2,0°21.2',"faint, pretty small, round, mottled but not resolved, western of double nebula"
NGC 1588,,,04 23 32,04h23m32s,89 38.6,0 21.4,0°21.4',"faint, very small, round, mottled but not resolved, eastern of double nebula"
NGC 1589,,,04 23 33,04h23m33s,89 26.6,0 33.4,0°33.4',"faint, pretty large, a little extended 132°, a star 80 arcsec distant at position angle 42°"
NGC 1590,,,04 23 38,04h23m38s,82 40.0,7 20,7°20',"faint, small, 12th magnitude star to northeast"
NGC 1591,,,04 23 49,04h23m49s,117 00.8,-27 00.8,-27°00.8',"pretty faint, pretty small, round, gradually brighter middle"
NGC 1592,,,04 23 53,04h23m53s,117 16.0,-27 16,-27°16',"very faint, very small"
NGC 1593,,,04 23 56,04h23m56s,89 44,0 16,0°16',very faint
NGC 1594,,,04 24 17,04h24m17s,96 06.5,-6 6.5,-6°6.5',"very faint, pretty small"
NGC 1595,,,04 24 25,04h24m25s,138 07.1,-48 7.1,-48°7.1',"very faint, small, round, brighter middle"
NGC 1596,,,04 24 35,04h24m35s,145 20.3,-55 20.3,-55°20.3',"bright, pretty large, much extended 15°, suddenly much brighter middle, western of 2"
NGC 1597,,,04 24 35,04h24m35s,101 35.0,-11 35,-11°35',"extremely faint, very small, round, gradually brighter middle"
NGC 1598,,,04 24 36,04h24m36s,138 05.4,-48 5.4,-48°5.4',"faint, small, round, brighter middle"
NGC 1599,,,04 24 43,04h24m43s,94 53.5,-4 53.5,-4°53.5',"very faint, very small, round, very little brighter middle"
NGC 1600,,,04 24 45,04h24m45s,95 23.4,-5 23.4,-5°23.4',"pretty bright, pretty large, round, gradually much brighter middle"
NGC 1601,,,04 24 46,04h24m46s,95 21.9,-5 21.9,-5°21.9',"very faint, very small"
NGC 1602,,,04 24 48,04h24m48s,145 22.0,-55 22,-55°22',"extremely faint, pretty large, a little extended, the following (eastern) of 2"
NGC 1603,,,04 24 55,04h24m55s,95 24.0,-5 24,-5°24',"very faint, very small"
NGC 1604,,,04 24 56,04h24m56s,95 39.9,-5 39.9,-5°39.9',"extremely faint, small, round, between a star and a double star"
NGC 1605,,,04 24 59,04h24m59s,45 03.8,44 56.2,44°56.2',
NGC 1606,,,04 25 05,04h25m05s,95 21.0,-5 21,-5°21',extremely faint
NGC 1607,,,04 25 07,04h25m07s,94 45.8,-4 45.8,-4°45.8',"faint, small, round, a little brighter middle"
NGC 1608,,,04 25 15,04h25m15s,89 35.5,0 24.5,0°24.5',"pretty faint, considerably small, 12th magnitude star 2 arcmin to north"
NGC 1609,,,04 25 47,04h25m47s,94 39.6,-4 39.6,-4°39.6',"very faint, extremely small, 17th magnitude star 45 arcsec to north"
NGC 1610,,,04 25 49,04h25m49s,94 53.0,-4 53,-4°53',"extremely faint, very small, round, brighter middle and nucleus"
NGC 1611,,,04 26 10,04h26m10s,94 35.8,-4 35.8,-4°35.8',"extremely faint, small, extended 90°±"
NGC 1612,,,04 26 16,04h26m16s,94 28.3,-4 28.3,-4°28.3',"very faint, very small, round, gradually much brighter middle"
NGC 1613,,,04 26 29,04h26m29s,94 33.8,-4 33.8,-4°33.8',"faint, very small, round, much brighter middle"
NGC 1614,,,04 27 38,04h27m38s,98 53.2,-8 53.2,-8°53.2',"pretty faint, small, round, a little brighter middle"
NGC 1615,,,04 27 49,04h27m49s,70 20.5,19 39.5,19°39.5',"very faint, very small, round, a little brighter middle, very small star involved"
NGC 1616,,,04 28 20,04h28m20s,134 00.5,-44 00.5,-44°00.5',"faint, small, extended, very gradually a little brighter middle"
NGC 1617,,,04 28 34,04h28m34s,144 54.2,-54 54.2,-54°54.2',"bright, large, much extended 106°, very gradually then very suddenly much brighter middle and nucleus 5 arcsec (across)"
NGC 1618,,,04 29 07,04h29m07s,93 26.6,-3 26.6,-3°26.6',"faint, small, irregular figure, little brighter middle, 2 stars to southeast"
NGC 1619,,,04 29 16,04h29m16s,95 07.3,-5 7.3,-5°7.3',"most extremely faint, small, round"
NGC 1620,,,04 29 28,04h29m28s,90 25.8,-0 25.8,-0°25.8',"very faint, pretty large, much extended 140°, bright double star to northeast"
NGC 1621,,,04 29 31,04h29m31s,95 16.0,-5 16,-5°16',"extremely faint, small, round, little brighter middle"
NGC 1622,,,04 29 35,04h29m35s,93 28.6,-3 28.6,-3°28.6',"very faint, small, 20th magnitude star 5 seconds of time to west, (WH) II 524 to west"
NGC 1623,,,04 29 40,04h29m40s,103 49.8,-13 49.8,-13°49.8',"extremely faint, very small, round, gradually brighter middle and nucleus"
NGC 1624,,,04 29 48,04h29m48s,39 50.2,50 9.8,50°9.8',"faint, considerably large, irregular figure, 6 or 7 stars plus nebula"
NGC 1625,,,04 30 07,04h30m07s,93 35.8,-3 35.8,-3°35.8',"very faint, extended 141°, suddenly brighter middle, faint star attached on northwest, 6th magnitude star 48 seconds of time to west"
NGC 1626,,,04 30 19,04h30m19s,95 16.8,-5 16.8,-5°16.8',"extremely faint, very small, round, 8th magnitude star to northwest"
NGC 1627,,,04 30 38,04h30m38s,95 09.5,-5 9.5,-5°9.5',"extremely faint, pretty large, round, 2 stars to southeast, southern of 2"
NGC 1628,,,04 30 41,04h30m41s,94 59.5,-4 59.5,-4°59.5',"very faint, pretty small, much extended north south, northern of 2"
NGC 1629,,,04 31 14,04h31m14s,162 08.1,-72 8.1,-72°8.1',"very faint, pretty large, round, gradually a little brighter middle"
NGC 1630,,,04 31 47,04h31m47s,109 11.8,-19 11.8,-19°11.8',"extremely faint, extremely small, round"
NGC 1631,,,04 32 20,04h32m20s,110 55.6,-20 55.6,-20°55.6',
NGC 1632,,,04 32 28,04h32m28s,99 43.7,-9 43.7,-9°43.7',pretty bright and pretty large
NGC 1633,,,04 32 36,04h32m36s,82 56.3,7 3.7,7°3.7',"extremely faint, small, round, 8th magnitude star to southwest, preceding (western) of double nebula"
NGC 1634,,,04 32 37,04h32m37s,82 57.0,7 3,7°3',"extremely faint, very small, following (eastern) of double nebula"
NGC 1635,,,04 33 01,04h33m01s,90 49.6,-0 49.6,-0°49.6',"faint, small, round, brighter middle, 11th magnitude star 12.5 seconds of time to northeast"
NGC 1636,,,04 33 57,04h33m57s,98 52.8,-8 52.8,-8°52.8',"very faint, pretty small, round, very gradually brighter middle, mottled but not resolved, star 1 arcmin to northeast"
NGC 1637,,,04 34 26,04h34m26s,93 07.8,-3 7.8,-3°7.8',"considerably bright, large, round, very gradually brighter middle"
NGC 1638,,,04 34 33,04h34m33s,92 04.7,-2 4.7,-2°4.7',"faint, pretty large, a little extended"
NGC 1639,,,04 34 37,04h34m37s,107 16.1,-17 16.1,-17°16.1',"extremely faint, very small, round, between 2 stars"
NGC 1640,,,04 34 40,04h34m40s,110 41.6,-20 41.6,-20°41.6',"very faint, pretty small, extended 40°, gradually brighter middle"
NGC 1641,,,04 35 30,04h35m30s,156 04.8,-66 4.8,-66°4.8',
NGC 1642,,,04 35 45,04h35m45s,89 39.7,0 20.3,0°20.3',"faint, round, cometary, making a triangle with two 18th magnitude stars to the east"
NGC 1643,,,04 36 51,04h36m51s,95 35.0,-5 35,-5°35',"extremely faint, very small, irregularly round, brighter middle"
NGC 1644,,,04 37 07,04h37m07s,156 27.9,-66 27.9,-66°27.9',"faint, small, round, gradually brighter middle"
NGC 1645,,,04 37 10,04h37m10s,95 43.7,-5 43.7,-5°43.7',"very faint, pretty small, round (h 328 to northwest)"
NGC 1646,,,04 37 41,04h37m41s,98 47.2,-8 47.2,-8°47.2',"faint, very small, irregularly round, brighter middle, 7th magnitude star to northwest"
NGC 1647,,,04 37 55,04h37m55s,71 11.4,18 48.6,18°48.6',
NGC 1648,,,04 38 10,04h38m10s,98 44.3,-8 44.3,-8°44.3',"most extremely faint, pretty small, very difficult, (WH) II 523 to southwest"
NGC 1649,,,04 38 37,04h38m37s,159 05.1,-69 5.1,-69°5.1',"faint, pretty small, round, gradually brighter middle"
NGC 1650,,,04 38 40,04h38m40s,106 09.5,-16 9.5,-16°9.5',"very faint, pretty small, extended 0°, brighter middle and nucleus"
NGC 1651,,,04 38 42,04h38m42s,160 51.5,-70 51.5,-70°51.5',"pretty faint, large, very little extended, very gradually a little brighter middle"
NGC 1652,,,04 38 44,04h38m44s,158 56.4,-68 56.4,-68°56.4',"very faint, small, round, gradually a little brighter middle"
NGC 1653,,,04 38 45,04h38m45s,92 39.1,-2 39.1,-2°39.1',"faint, considerably small, round, a little brighter middle"
NGC 1654,,,04 38 45,04h38m45s,92 20.5,-2 20.5,-2°20.5',"faint, small, round, a little brighter middle, mottled but not resolved? western of 2"
NGC 1655,,,04 38 55,04h38m55s,69 20.0,20 40,20°40',"pretty bright, round, gradually brighter middle, 10th magnitude star to south"
NGC 1656,,,04 39 01,04h39m01s,95 23.4,-5 23.4,-5°23.4',"extremely faint, irregular figure?"
NGC 1657,,,04 39 04,04h39m04s,92 20.0,-2 20,-2°20',fainter but larger than preceding (western) one
NGC 1658,,,04 39 29,04h39m29s,131 45.1,-41 45.1,-41°45.1',"faint, pretty small, pretty much extended, gradually a little brighter middle"
NGC 1659,,,04 39 35,04h39m35s,95 02.6,-5 2.6,-5°2.6',"pretty faint, pretty small, irregularly extended 90°±, brighter middle"
NGC 1660,,,04 39 38,04h39m38s,131 46.9,-41 46.9,-41°46.9',"very faint, small, a little extended, gradually a little brighter middle"
NGC 1661,,,04 40 05,04h40m05s,92 18.5,-2 18.5,-2°18.5',"very faint, very small, brighter middle"
NGC 1662,,,04 40 45,04h40m45s,79 19.3,10 40.7,10°40.7',a cluster of large (bright) and small (faint) scattered stars
NGC 1663,,,04 40 45,04h40m45s,77 06.1,12 53.9,12°53.9',"a cluster, a little rich, stars large (bright) and small (faint)"
NGC 1664,,,04 41 02,04h41m02s,46 33.3,43 26.7,43°26.7',"a cluster, a little rich, a little compressed, pretty large"
NGC 1665,,,04 41 24,04h41m24s,95 41.2,-5 41.2,-5°41.2',"extremely faint, pretty large, round, a little brighter middle"
NGC 1666,,,04 41 39,04h41m39s,96 49.1,-6 49.1,-6°49.1',"very faint, pretty small, round"
NGC 1667,,,04 41 47,04h41m47s,96 34.2,-6 34.2,-6°34.2',"pretty faint, pretty small, round, mottled but not resolved?"
NGC 1668,,,04 42 00,04h42m00s,135 02.1,-45 2.1,-45°2.1',"extremely faint, round, attached to 14th magnitude star"
NGC 1669,,,04 42 20,04h42m20s,156 04.1,-66 4.1,-66°4.1',"extremely faint, small, round"
NGC 1670,,,04 42 40,04h42m40s,93 00.3,-3 00.3,-3°00.3',"very faint, very small"
NGC 1671,,,04 43 09,04h43m09s,91 00.9,-1 00.9,-1°00.9',"pretty faint, pretty small, round"
NGC 1672,,,04 43 32,04h43m32s,149 30.1,-59 30.1,-59°30.1',"bright, large, suddenly much brighter middle and nucleus"
NGC 1673,,,04 43 35,04h43m35s,160 04.0,-70 4,-70°4',"very faint, small, attached to 10th magnitude star"
NGC 1674,,,04 43 56,04h43m56s,66 20.0,23 40,23°40',
NGC 1675,,,04 43 56,04h43m56s,66 20.0,23 40,23°40',
NGC 1676,,,04 44 19,04h44m19s,159 04.5,-69 4.5,-69°4.5',"very faint, pretty large, irregularly round, mottled but not resolved"
NGC 1677,,,04 44 26,04h44m26s,95 02.4,-5 2.4,-5°2.4',"pretty faint, pretty large, a little extended"
NGC 1678,,,04 44 32,04h44m32s,92 52.0,-2 52,-2°52',"very faint, small"
NGC 1679,,,04 44 39,04h44m39s,122 12.8,-32 12.8,-32°12.8',"very bright, large, irregularly round, 4 stars involved"
NGC 1680,,,04 44 42,04h44m42s,138 03.5,-48 3.5,-48°3.5',"very faint, small, round, mottled but not resolved or star involved"
NGC 1681,,,04 44 58,04h44m58s,96 02.6,-6 2.6,-6°2.6',"very faint, small, round, very little brighter middle"
NGC 1682,,,04 45 20,04h45m20s,93 20.7,-3 20.7,-3°20.7',"very faint, very small, II 528 twelve seconds± of time to east, 9th magnitude star 4.5 arcmin to south"
NGC 1683,,,04 45 24,04h45m24s,93 15.8,-3 15.8,-3°15.8',"very faint, round"
NGC 1684,,,04 45 32,04h45m32s,93 20.7,-3 20.7,-3°20.7',"pretty faint, pretty small, round, brighter middle, 9th magnitude star at position angle 225°±"
NGC 1685,,,04 45 38,04h45m38s,93 08.7,-3 8.7,-3°8.7',faint
NGC 1686,,,04 45 40,04h45m40s,105 35.2,-15 35.2,-15°35.2',"extremely faint, very small, much extended 30°"
NGC 1687,,,04 46 09,04h46m09s,124 10.4,-34 10.4,-34°10.4',"very faint, small, round, very gradually a little brighter middle"
NGC 1688,,,04 46 19,04h46m19s,150 02.1,-60 2.1,-60°2.1',"pretty bright, pretty large, irregularly round, pretty gradually much brighter middle"
NGC 1689,,,04 46 47,04h46m47s,96 33.9,-6 33.9,-6°33.9',"pretty bright, pretty small, a little extended"
NGC 1690,,,04 47 06,04h47m06s,88 35.8,1 24.2,1°24.2',"very faint, very small, among very small (faint) stars, large (bright) star to southwest"
NGC 1691,,,04 47 19,04h47m19s,86 57.8,3 2.2,3°2.2',"faint, small, 11th magnitude star involved"
NGC 1692,,,04 47 40,04h47m40s,110 47.1,-20 47.1,-20°47.1',"extremely faint, very small, round"
NGC 1693,,,04 48 23,04h48m23s,159 35.2,-69 35.2,-69°35.2',"faint, small, round"
NGC 1694,,,04 48 23,04h48m23s,94 52.8,-4 52.8,-4°52.8',"very faint, very small, round, suddenly brighter middle"
NGC 1695,,,04 48 30,04h48m30s,159 37.1,-69 37.1,-69°37.1',"faint, small, round"
NGC 1696,,,04 48 47,04h48m47s,158 27.4,-68 27.4,-68°27.4',"very faint, extended, very little brighter middle"
NGC 1697,,,04 49 02,04h49m02s,158 47.5,-68 47.5,-68°47.5',"a globular cluster, pretty bright, large, round, partially resolved (some stars seen)"
NGC 1698,,,04 49 42,04h49m42s,159 20.7,-69 20.7,-69°20.7',"pretty bright, pretty small, round, gradually a little brighter middle"
NGC 1699,,,04 50 01,04h50m01s,94 58.8,-4 58.8,-4°58.8',"most extremely faint, pretty small, round, between 2 stars, north of 932"
NGC 1700,,,04 50 02,04h50m02s,95 05.3,-5 5.3,-5°5.3',"considerably bright, small, much brighter starlike middle"
NGC 1701,,,04 50 25,04h50m25s,120 06.2,-30 6.2,-30°6.2',"faint, small, very little extended, gradually a little brighter middle, 10th magnitude star 75 arcsec to southeast"
NGC 1702,,,04 50 27,04h50m27s,160 05.5,-70 5.5,-70°5.5',
NGC 1703,,,04 50 49,04h50m49s,149 58.0,-59 58,-59°58',"faint, large, round, very gradually a little brighter middle, double star attached"
NGC 1704,,,04 50 54,04h50m54s,159 59.2,-69 59.2,-69°59.2',"faint, pretty small, a little extended, mottled but not resolved"
NGC 1705,,,04 51 09,04h51m09s,143 35.2,-53 35.2,-53°35.2',"pretty faint, small, round, pretty much brighter middle"
NGC 1706,,,04 51 15,04h51m15s,153 13.5,-63 13.5,-63°13.5',"faint, pretty small, round, very gradually a little brighter middle"
NGC 1707,,,04 51 16,04h51m16s,81 58.7,8 1.3,8°1.3',"small, round, well resolved, clearly consisting of stars"
NGC 1708,,,04 51 32,04h51m32s,37 19.9,52 40.1,52°40.1',
NGC 1709,,,04 51 36,04h51m36s,90 41.1,-0 41.1,-0°41.1',"very faint, very small, northwest of (WH) II 516"
NGC 1710,,,04 51 40,04h51m40s,105 30.9,-15 30.9,-15°30.9',"very faint, very small, round, brighter middle and nucleus, 13th magnitude star involved"
NGC 1711,,,04 51 45,04h51m45s,160 13.0,-70 13,-70°13',
NGC 1712,,,04 51 46,04h51m46s,159 39.8,-69 39.8,-69°39.8',
NGC 1713,,,04 51 47,04h51m47s,90 41.7,-0 41.7,-0°41.7',"faint, small, round, brighter middle"
NGC 1714,,,04 52 00,04h52m00s,157 08.9,-67 8.9,-67°8.9',"very bright, small, extended or bi-nuclear, brighter middle, southwestern of 2"
