No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N0060,...,...,...,St XII,00,08,48,,+3.07,91,04.9,,-20.0,"eF, vS, R, lbM",...
N0061,30,14,III 428,...,00,09,15,,+3.07,97,05.8,,-20.0,"vF, S, iR, psvlbM",...
N0062,...,...,...,"St XIII, OSt I",00,09,57,,+3.05,104,15.9,,-20.0,"F, vS, R, glbM",...
N0063,5093,...,...,d'A,00,10,33,,+3.09,79,19.7,,-20.0,"pF, S, R, sbM",...
N0064,...,...,...,Sw V,00,10,38,,+3.06,97,34.6,,-20.0,"eeF, vS, R, v diffic",...
N0065,...,...,...,Mu II,00,10,53,,+3.04,113,40.0,,-20.0,"eF, vS, R, gbM, p of 2",...
N0066,...,...,...,Mu II,00,10,59,,+3.04,113,44.0,,-20.0,"eF, pS, E, 225d, *9 n 1', f of 2           .",..
N0067,32,...,...,Ld R,00,10,59,,+3.11,60,43.0,,-20.0,"eF, vS, R",...
N0068,31,15,V 16,...,00,11,05,,+3.11,60,42.2,,-20.0,"eF, L, 3 or 4 st + neb",#
N0069,33,...,...,Ld R,00,11,07,,+3.11,60,44.1,,-20.0,"eF, vS, R",...
N0070,34,...,...,Ld R,00,11,10,,+3.11,60,41.8,,-20.0,"eF, vS, R, bet 2 F st",...
N0071,35,...,...,"Ld R, d'A",00,11,11,,+3.11,60,42.7,,-20.0,"eF, vS, R",...
N0072,36,...,...,Ld R,00,11,16,,+3.11,60,44.1,,-20.0,"eF, vS, R",...
N0073,...,...,...,Sw V,00,11,36,,+3.05,106,05.5,,-20.0,"vF, S, R, eF D* close f",...
N0074,37,...,...,Ld R,00,11,42,,+3.11,60,43.7,,-20.0,"eF, S, E, last of 6",...
N0075,...,...,...,Sw V,00,12,08,,+3.08,84,18.9,,-20.0,"vF, vS, R",...
N0076,...,...,...,Bigourdan,00,12,27,,+3.11,60,51,,-20.0,"vF, S, bM",...
N0077,...,...,...,Mu II,00,12,30,,+3.04,113,18.0,,-20.0,"eF, vS, iF (?*), *9 p 3'",...
N0078,5094,...,...,Pechule,00,13,17,,+3.07,89,55.3,,-20.0,"vF, S, R",...
N0079,...,...,...,Bigourdan,00,13,45,,+3.11,68,12.5,,-20.0,"vF, S, vlbM",...
N0080,38,016,...,...,00,13,55,,+3.11,68,25.2,,-20.0,"F, S, R, psbM",...
N0081,...,...,...,Copeland (R),00,13,57,,+3.11,68,23.7,,-20.0,"eeF, sp h 17",...
N0082,...,...,...,Bigourdan,00,14,02,,+3.11,68,18.9,,-20.0,"eF, stellar",...
N0083,39,17,...,...,00,14,05,,+3.11,68,20.6,,-20.0,"E, biN, 3 B st nr",...
N0084,...,...,...,Bigourdan,00,14,05,,+3.11,68,09.7,,-20.0,"eF, st & neb",...
N0085,5095,...,...,Copeland (R),00,14,08,,+3.11,68,15.8,,-20.0,"eeF, cL, R",...
N0086,...,...,...,Bigourdan,00,14,11,,+3.11,68,13.1,,-20.0,"eF, vS, lbM",...
N0087,43,2316,...,...,00,14,19,,+2.97,139,24.7,,-20.0,"eF, S, R, gbM, 1st of 4",...
N0088,44,2317,...,...,00,14,28,,+2.97,139,25.2,,-20.0,"eF, vS, R, 2nd of 4",...
N0089,45,2318,...,...,00,14,30,,+2.97,139,26.6,,-20.0,"vF, S, R, gbM, 3rd of 4",...
N0090,40=5096,...,...,"Ld R, Schultz",00,14,35,,+3.11,68,21.2,,-20.0,"vF, lE",...
N0091,41=5097,...,...,"Ld R, d'A",00,14,36,,+3.11,68,22.9,,-20.0,"vF, vS, *13 sp",...
N0092,46,2319,...,...,00,14,37,,+2.97,139,24.4,,-20.0,"F, S, R, gbM, 4th of 4",...
N0093,42=5098,...,...,"Ld R, d'A",00,14,47,,+3.11,68,22.1,,-20.0,"vF, vS",...
N0094,...,...,...,Bigourdan,00,14,58,,+3.11,68,16.9,,-20.0,"eF, vS",...
N0095,47,19,II 257,...,00,15,01,,+3.09,80,17.8,,-20.0,"F, pL, R, gbM",...
N0096,...,...,...,Bigourdan,00,15,02,,+3.11,68,13.0,,-20.0,"vF, S, vlbM",...
N0097,48,18,...,...,00,15,11,,+3.12,61,1.5,,-20.0,"F, vS, R, gbM",...
N0098,49,2320,...,...,00,15,56,,+2.97,136,03.2,,-20.0,"vF, pS, R, bM, r",...
N0099,...,...,...,St XIII,00,16,45,,+3.10,75,00.4,,-20.0,"vF, pL, R, gbM",...
N0100,...,...,...,Sw III,00,16,48,,+3.10,74,17.7,,-20.0,"vF, pS, mE",...
N0101,50,2321,...,...,00,16,56,,+3.00,123,19.4,,-20.0,"pB, pL, lE, *14 f",...
N0102,...,...,...,L I,00,17,30,,+3.04,104,45,,-20.0,"eF, vS, R",...
N0103,51,20,...,...,00,17,38,,+3.27,29,26.7,,-20.0,"Cl, pS, pC, st 11...18",...
