No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N2226,...,...,...,Barnard,06,20,,,+2.85,99,34,+-,+1.8,"S, v diffic, *10 close s",...
N2227,1410,3046,...,...,06,20,01,,+2.54,111,55.4,,+1.8,"eF, R, ** p 270d, 90""",...
N2228,1411,3047,...,...,06,20,33,,+0.29,154,23.4,,+1.8,"F, S, R, glbM",...
N2229,1412,3048,...,...,06,20,49,,+0.23,154,52.8,,+1.8,"eF, vS, R, 1st of 3",...
N2230,1413,3049,...,...,06,20,55,,+0.23,154,55.4,,+1.8,"cF, S, lE, 2nd of 3",...
N2231,1414,3050,...,...,06,21,01,,-0.14,157,27.1,,+1.8,"F, pL, R, gvlbM, ** f",...
N2232,1415,...,VIII 25,...,06,21,02,,+2.96,94,40.7,,+1.9,B * (10 Monoc) + CL,...
N2233,1416,3051,...,...,06,21,11,,+0.22,154,58.2,,+1.9,"eF, S, 3rd of 3",...
N2234,1417,389,VIII 9,...,06,21,14,,+3.47,73,13.6,,+2.0,"Cl, eL, pRi, lC, st L & S",...
N2235,1418,3052,...,...,06,21,50,,+0.24,154,51.8,,+1.9,"vF, S, R, *12 nr",...
N2236,1419,390,VII 5,...,06,22,11,,+3.23,83,04.4,,+2.0,"Cl, pRi, pC, st 10, 12...15",#
N2237,...,...,...,Sw II,06,22,51,,+3.19,84,51.5,,+2.2,"pB, vvL, dif (? = 5361)",...
N2238,5361,...,...,m 99,06,23,11,,+3.19,84,54,,+2.1,S * in nebulosity,...
N2239,1420,392,...,...,06,23,29,,+3.19,84,57.5,,+2.1,"*8 in L, P, B Cl",...
N2240,1421,391,VIII 49,...,06,23,32,,+4.01,54,42.3,,+2.2,"Cl, pL, P, vlC, st 7, 10...15",...
N2241,1422,3054,...,...,06,23,42,,-0.37,158,50.6,,+2.0,"vF, pL, R, glbM",...
N2242,...,...,...,Sw VI,06,23,55,,+4.39,45,06.5,,+2.2,"eeF, vS, R, F * nf",...
N2243,1423,3053,...,Dunlop 616?,06,24,14,,+2.27,121,11.5,,+2.2,"pB, cL, R, vglbM, 4'",...
N2244,1424,...,VII 2,...,06,24,53,,+3.19,85,02.2,,+2.3,"Cl, beautiful, st sc (12 Monoc)",...
N2245,1425,393,IV 3,...,06,24,58,,+3.31,79,44.5,,+2.3,"pL, com, mbN, sf alm *, *7-8 nf",#
N2246,...,...,...,Sw III,06,25,00,,+3.19,84,47.2,,+2.3,"eeF, L, irrR, e diffic",...
N2247,...,...,...,"Ld R, Sw I",06,25,26,,+3.31,79,34,,+2.3,"Neb * in eF, eL neby, nf IV 3",...
N2248,1426,...,...,Markree Cat.,06,25,52,,+3.73,63,35.3,,+2.4,Small cluster (Auw 23),...
N2249,1427,3055,...,...,06,26,38,,-0.36,158,50.0,,+2.3,"pB, pL, R, vgbM, ** p",...
N2250,1428,394,...,...,06,27,05,,+2.96,94,57.9,,+2.4,"Cl, pRi, lC, iF, st 8, 12...14",...
N2251,1429,395,VIII 3,...,06,27,08,,+3.27,81,32.3,,+2.5,"Cl, vL, E, Ri, lC",...
N2252,1430,396,VIII 50,...,06,27,24,,+3.20,84,32.2,,+2.5,"Cl, vL, pRi, lC, st S",...
N2253,1431,...,VII 54,...,06,27,56,,+6.04,24,02.3,,+2.6,"vF, st eS",...
N2254,1432,397,VII 22,...,06,28,25,,+3.25,82,13.7,,+2.6,"Cl, S, pC, iF, st 11...13",...
N2255,1433,3056,...,...,06,28,59,,+2.15,124,42.9,,+2.6,"eF, S, lE, vlbM",...
N2256,...,...,...,T IX,06,29,09,,+7.79,15,39.0,,+2.8,"F, R, *9.5 3' sf",...
N2257,1434,3057,...,...,06,29,26,,+0.33,154,13.4,,+2.6,"F, cL, R, vglbM, r, 17.0sec [RA] d[iam]",...
N2258,...,...,...,T IX,06,30,40,,+7.84,15,29.0,,+2.8,"F, 2 st 10-11 f",...
N2259,1435,...,VI 28,...,06,30,48,,+3.33,79,00.6,,+2.8,"Cl, cRi, eC, iF, st eS",...
N2260,1436,398,VIII 48,...,06,31,02,,+3.04,91,20.7,,+2.8,"Cl, vL, P, vlC, st L & S",...
N2261,1437,399,IV 2,...,06,31,31,,+3.28,81,08.7,,+2.9,"B, vmE 330d, N com = * 11",#
N2262,1438,400,VII 37,...,06,32,24,,+3.10,88,43.8,,+2.9,"Cl, vC, iR, bM, st cS",...
N2263,1439,3058,...,...,06,32,42,,+2.46,114,43.9,,+2.9,"pF, lE, bet 2 vS st, pslbM",...
N2264,1440,401,V 27=VIII 5,...,06,33,16,,+3.31,79,58.7,,+3.0,"15 Monoc, Cl, **, ? Neb",...
N2265,1441,402,...,...,06,33,41,,+3.35,77,57.1,,+3.0,"Cl, P, 30 or 40 st 12...13",...
N2266,1442,403,VI 21,...,06,34,33,,+3.75,62,53.6,,+3.1,"Cl, pS, eC, Ri, st 11...15",...
N2267,1443,3059,...,...,06,35,32,,+2.24,122,20.8,,+3.2,"pB, S, R, 2 or 3 st v nr",...
N2268,5362,...,...,Borelly,06,36,00,,+16.86,5,25.3,,+3.6,"pF, pL, lE",...
N2269,1444,404,VI 3,...,06,36,27,,+3.18,85,17.7,,+3.3,"Cl, vmC, not Ri, st vS",...
N2270,1445,405,VII 36,...,06,36,36,,+3.15,86,24.9,,+3.3,"Cl, lC, not Ri",...
N2271,1446,3060,...,...,06,37,03,,+2.50,113,20.3,,+3.3,"pF, S, R, gbM, am st",...
N2272,1447,3061,...,...,06,37,07,,+2.39,117,19.6,,+3.3,"pF, pS, vlE, bM, r",...
N2273,5363,...,...,Duner,06,37,29,,+5.45,29,00.3,,+3.4,"F, S, iR, r?",...
N2274,1448,406,II 615,...,06,38,05,,+3.95,56,17.6,,+3.4,"F, S, bM",...
N2275,1449,407,II 614,...,06,38,06,,+3.95,56,15.6,,+3.4,"eF, vS",...
N2276,5364,...,...,"T I, Winnecke",06,38,31,,+21.67,4,02,,+3.9,"F, 60"", lbM",...
N2277,5365,...,...,d'A,06,38,36,,+3.95,56,24.5,,+3.5,"Cl, vS, lRi",...
N2278,5366,...,...,d'A,06,39,03,,+3.95,56,26.8,,+3.5,"vF, vS",...
N2279,...,...,...,Bigourdan,06,39,13,,+3.95,56,27.1,,+3.5,"vF, vS, stellar Nucl",...
N2280,1450,3062,...,...,06,39,17,,+2.39,117,30.1,,+3.5,"pF, pL, lE, gbM",...
N2281,1451,...,VIII 71,...,06,39,31,,+4.22,48,47.3,,+3.6,"Cl, pRi, vlC, st pL",...
N2282,...,...,...,Barnard,06,39,37,,+3.11,88,32.0,,+3.5,"*10 in F, R neby",...
N2283,1452,...,III 271,...,06,39,46,,+2.64,108,03.4,,+3.6,3 or 4 S st + neb,*
N2284,5367,...,...,d'A,06,40,02,,+3.94,56,38.6,,+3.6,"F, r",...
N2285,5368,...,...,d'A,06,40,20,,+3.94,56,29.9,,+3.6,"eF, eS, r?",...
N2286,1453,408,VIII 31,...,06,40,39,,+3.00,93,01.4,,+3.6,"Cl, L, C, ab 100 st 9...15",...
N2287,1454,411,...,"Flam, Lege, M 14",06,41,00,,+2.58,110,36.0,,+3.6,"Cl, vL, B, lC, st 8...",...
N2288,1455,...,...,Ld R,06,41,32,,+3.94,56,27.2,,+3.7,"cF, S, R, (Beta of Lord R's diag)",*
N2289,1457=1456,410,III 898,...,06,41,33,,+3.94,56,25.4,,+3.7,"eF, vS, (= gamma)",*
N2290,5369,...,III 897?,"Ld R, d'A",06,41,37,,+3.94,56,28.6,,+3.7,"F, S, gbM (= alpha)",...
N2291,1458,409,III 897,...,06,41,38,,+3.95,56,23.3,,+3.7,"eF, vS, (= delta)",*
N2292,1459,3063,...,...,06,41,44,,+2.41,116,35.8,,+3.7,"eF, E, gbM} D neb, am st",...
N2293,1459,3063,...,...,06,41,44,,+2.41,116,35.8,,+3.7,"pB, R, gbM} D neb, am st",...
N2294,1460,...,...,Ld R,06,41,50,,+3.94,56,23.1,,+3.7,"eeF,(epsilon of Lord R's diag)",*
N2295,1461,3064,...,...,06,42,03,,+2.41,116,34.3,,+3.7,"eF, S, R, bet st, D neb p",...
N2296,...,...,...,Sw VI,06,43,03,,+2.68,106,46.0,,+3.8,"vF, vS, R",...
N2297,1462,3066,...,...,06,43,24,,+0.43,153,34.3,,+3.8,"vF, S, R, vglbM",...
N2298,1463,3065,...,Dunlop 578,06,44,02,,+2.12,125,50.9,,+3.9,"GC, B, pL, iR, gbM, rr",...
N2299,1464,412,...,...,06,44,17,,+2.92,96,49.6,,+3.9,Cl of 30 or 40 st,...
N2300,5370,...,...,"Winnecke,Borelly",06,44,29,,+21.33,4,03.3,,+4.5,"pB, pL, lE, bM",...
N2301,1465,413,VI 27,...,06,44,35,,+3.09,89,22.7,,+4.0,"Cl, Ri, L, iF, st L & S",...
N2302,1466,414,VIII 39,...,06,45,03,,+2.91,96,55.2,,+4.0,"Cl, L, P, lC",...
N2303,...,...,...,Sw VI,06,45,50,,+4.41,44,18.7,,+4.1,"eF, vS, R, sev st nr",...
N2304,1467,415,VI 2,...,06,46,55,,+3.50,71,49.2,,+4.1,"Cl, pL, Ri, mC, st vS",#
N2305,1468,3067,...,...,06,47,46,,+0.38,154,06.7,,+4.2,"vF, vS, R, 2 st triangle",...
N2306,1469,416,VIII 51,...,06,47,47,,+2.91,97,01.4,,+4.2,"Cl, P, vlC",...
N2307,1470,3068,...,...,06,47,58,,+0.37,154,09.9,,+4.2,"vF, pS, vlE 90d",...
N2308,5371,...,...,St VI,06,48,23,,+4.39,44,36.5,,+4.3,"eF, vS, vF * inv",...
N2309,1471,417,VI 18,...,06,49,15,,+2.91,97,01.4,,+4.4,"Cl, pL, pRi, mC, st 13",...
N2310,1472,3069,...,...,06,49,23,,+1.95,130,41.5,,+4.3,"pB, pL, vmE 45d, pslbM",...
N2311,1473,418,VIII 60,...,06,50,52,,+2.97,94,24.3,,+4.5,"Cl, lC, not Ri",...
N2312,1474,419,...,...,06,51,06,,+3.31,79,33.4,,+4.5,"Cl, P",...
N2313,1475,...,...,d'A,06,51,18,,+2.89,97,45.6,,+4.5,"F, vS, R",...
N2314,...,...,...,T IX,06,51,40,,+8.07,14,34.9,,+4.7,"vF, S, R",...
N2315,1476,420,...,...,06,51,50,,+4.67,39,12.9,,+4.6,eF,...
N2316,1477,421,II 304,...,06,52,55,,+2.90,97,35.0,,+4.7,"pF, S, R, r, S st inv",#
N2317,1478,...,...,Ld R,06,52,,,+2.90,97,35,,+4.7,Makes a close D neb with h 421,#
N2318,1479,422=3070,VII 14,...,06,53,04,,+2.76,103,30.7,,+4.7,"Cl, L, sc, st 8...9",...
N2319,1480,423,VIII IB,...,06,53,48,,+3.15,86,44.9,,+4.8,"Cl of v sc st, st 8, 9...",*
N2320,1482,424,II 861,...,06,54,51,,+4.66,39,13.2,,+4.8,"pB, S, iR, gbM, *8, 120d",...
N2321,...,...,...,Ld R,06,54,57,,+4.66,39,01,,+4.8,"vF, 12' n of h 424",...
N2322,1481,...,III 874,Ld R,06,55,23,,+4.66,39,17.2,,+4.9,"vF, vS, lE",...
N2323,1483,425,...,M 50,06,56,13,,+2.89,98,08.8,,+5.0,"! Cl, vL, Ri, pC, E, st 12...16",...
N2324,1484,427,VII 38,...,06,56,57,,+3.10,88,44.5,,+5.0,"Cl, L, Ri, cC, st 12...16",...
N2325,1485,3071,...,...,06,57,07,,+2.37,118,30.2,,+5.0,"pB, pL, lE, gbM",...
N2326,1486,426,II 734,...,06,57,29,,+4.66,39,05.8,,+5.0,"vF, pL, iR, psmbM, st p",...
N2327,1487,428,IV 25,...,06,57,33,,+2.82,101,06.5,,+5.1,"pB ** inv in S, vF, neb",...
N2328,1488,3072,...,...,06,58,07,,+1.91,131,51.9,,+5.1,"vF, S, vlE, bM, am st",...
N2329,1489,429,II 735=III 875,...,06,58,34,,+4.55,41,10.7,,+5.2,"vF, vS, stellar",...
N2330,1492?,...,...,"Ld R?, Bigourdan",06,58,46,,+4.63,39,33.6,,+5.2,"vF, vS, v stellar",...
N2331,1490,432,VIII 40,Flamsteed,06,58,48,,+3.74,62,35.7,,+5.2,"Cl, L, vlC, S Cl inv",...
N2332,1491,430,II 862,...,06,58,49,,+4.63,39,36.0,,+5.2,"F, S, R, psbM",...
N2333,1493,431,III 899,...,06,58,54,,+3.99,54,39.6,,+5.2,"vF, S, R, bM",...
N2334,1492?,...,...,"Ld R?, Bigourdan",06,59,07,,+4.63,39,34.6,,+5.2,"vF, bet 2 st 12",...
N2335,1494,...,VIII 32,...,06,59,55,,+2.85,99,52.1,,+5.3,"Cl, L, lC",...
N2336,5372,...,...,T I,07,00,,+-,+10.80,9,32,,+5.2,"pB, pL, R, 2 st 11 nr",...
N2337,5373,...,...,St VIII,07,00,06,,+4.34,45,19.4,,+5.3,"eF, S, E",...
N2338,1495,435,...,...,07,00,07,,+2.95,95,24.6,,+5.3,"Cl, vlC",...
N2339,1496,434,II 769,...,07,00,08,,+3.51,71,00.5,,+5.3,"pB, pL, R, glbM",...
N2340,1497,433,II 736,...,07,00,28,,+4.63,39,36.4,,+5.4,"pF, S, R, glbM, r",...
N2341,5374,...,...,m 100,07,00,54,,+3.56,69,11,,+5.4,"vF, vS",...
N2342,5375,...,...,m 101,07,01,01,,+3.56,69,10,,+5.4,"pF, S, lE, vlbM",...
N2343,1498,...,VIII 33,...,07,01,36,,+2.83,100,26.2,,+5.4,"Cl, cL, P, lC",...
N2344,...,...,...,Sw VI,07,01,48,,+4.47,42,35.1,,+5.5,"pB, pS, R, lbM",...
N2345,1499,3073,...,...,07,01,52,,+2.78,102,57.1,,+5.4,"Cl, pL, pRi, gbM, st 10...14",...
N2346,1500,...,IV 65,...,07,02,15,,+3.06,90,35.1,,+5.5,"*10 nff with S, vF, neb",...
N2347,1501,...,III 746,...,07,02,48,,+5.83,24,57.8,,+5.6,"vF, S, R, lbM",...
N2348,1502,3074,...,...,07,03,07,,+0.01,157,11.1,,+5.5,"Cl, P, lC, 30 st +-",...
N2349,1503,436,VII 27,CH,07,03,16,,+2.88,96,24.0,,+5.6,"Cl, cL, P, eC",...
N2350,5376,...,...,St VI,07,05,24,,+3.36,77,30.1,,+5.7,"eF, eS, iR",...
N2351,1504,437,...,...,07,06,56,,+2.82,101,15.2,,+5.9,"Cl, lC, ** taken",...
N2352,1505,...,VII 15,...,07,07,48,,+2.51,113,51.2,,+5.9,"Cl, pRi pC",...
N2353,1506,...,VIII 34,...,07,07,51,,+2.85,100,03.7,,+5.9,"Cl, L, lC, one vB *",...
N2354,1507,438,VII 16,...,07,08,28,,+2.46,115,29.5,,+6.0,"Cl, cRi, lC",...
N2355,1508,439,VI 6,...,07,09,04,,+3.39,75,58.9,,+6.1,"Cl, pS, pRi, mC, st 15...16",*
N2356,1509,...,VII 6,...,07,09,12,,+3.39,75,46.9,,+6.1,"Cl, lC",...
N2357,...,...,...,St XIII,07,09,14,,+3.63,66,23.9,,+6.0,"eF, L, mE, bM, F st inv",...
N2358,1510,...,VIII 45,...,07,10,32,,+2.69,106,48.0,,+6.2,"Cl, P, lC",...
N2359,1511,3075,V 21,...,07,11,03,,+2.78,102,57.9,,+6.2,"!!, vF, vvL, viF",#
N2360,1512,440=3076,VII 12,CH,07,11,23,,+2.72,105,23.3,,+6.2,"Cl, vL, Ri, pC, st 9...12",...
N2361,...,...,...,Bigourdan,07,11,56,,+2.78,102,58.0,,+6.2,"vvF, vS",...
N2362,1513,441=3077,VII 17,...,07,12,55,,+2.49,114,42.2,,+6.3,"Cl, pL, Ri, (30 can maj)",...
N2363,5377,...,...,Copeland (R),07,13,53,,+6.41,20,41.3,,+6.5,"Neb * or vFvS, III 748 sf",...
N2364,1514,442,...,...,07,14,00,,+2.91,97,18.2,,+6.4,"Cl, pC, st pL, bifid",...
N2365,5378,...,...,"m 102, St VI",07,14,01,,+3.59,67,39.4,,+6.5,"vF, pS, R, psbM",...
N2366,1515,...,III 748,...,07,14,02,,+6.41,20,42.3,,+6.5,"vF, pL, mbM, vS * inv, curved tails",#
N2367,1516,...,VIII 27,...,07,14,09,,+2.57,111,40.3,,+6.5,"Cl, S, P, lC",...
N2368,1517,443,...,...,07,14,21,,+2.85,100,07.6,,+6.5,"Cl, S, pRi, st 15",...
N2369,1518,3078,...,...,07,15,01,,+0.68,152,05.8,,+6.5,"pB, pL, iE, glbM",...
N2370,5379,...,...,m 103,07,16,33,,+3.63,65,56,,+6.7,"eF, vS, E",...
N2371,1519,444,II 316,...,07,16,44,,+3.79,60,14.5,,+6.7,"B, S, R, bMN, p of D neb",*#
N2372,1520,445,II 317,...,07,16,45,,+3.79,60,14.2,,+6.7,"pB, S, R, bMN, f of D neb",#
N2373,5380,...,...,"Ld R, St IX",07,17,29,,+3.92,55,54.2,,+6.8,"eF, vS (zeta in LdR's diag)",...
N2374,1521,3080,VIII 35,...,07,17,32,,+2.78,102,59.6,,+6.7,"Cl, vL, pRi, lC, st L",...
N2375,5383,...,...,"Ld R, St IX",07,18,01,,+3.92,55,53.7,,+6.9,"eF, vS, h 446 f 17sec, 1's (epsilon)",...
N2376,5381,...,...,m 104,07,18,10,,+3.61,66,39,,+6.8,"eF, vS",...
N2377,5382,...,...,St VI,07,18,16,,+2.86,99,23.2,,+6.8,"eF, vS * inv, * 11 s",...
N2378,...,...,...,St IX,07,18,16,,+3.92,55,53.6,,+6.8,"2 vF close st in eF neb, h 446 f 2sec, 1's",...
N2379,1527,446,...,"Ld R, St IX",07,18,18,,+3.92,55,54.8,,+6.9,"vF, vS (delta)",*
N2380,1522,3079,...,...,07,18,19,,+2.42,117,15.9,,+6.8,"pF, pS, R, vsmbM, am st",...
N2381,1523,3084,...,...,07,18,27,,+0.62,152,48.8,,+6.8,"vF, vS, R, am st",...
N2382,1524,3082,...,...,07,18,33,,+2.43,117,06.4,,+6.8,"pF, S, R, bM",...
N2383,1525,3081,...,...,07,18,40,,+2.60,110,40.0,,+6.8,"Cl, pS, pmC, st 12",...
N2384,1526,3083,...,...,07,19,00,,+2.60,110,45.0,,+6.9,"Cl, lC, bifid, **",...
N2385,1528,447,III 703,...,07,19,24,,+3.92,55,53.1,,+6.9,"vF, vS, R, bM",*
N2386,5384,...,...,Ld R*,07,19,29,,+3.92,55,57.0,,+6.9,Stellar,...
N2387,1529,...,II 820,...,07,19,45,,+4.02,52,58.7,,+7.0,"pB, S, stellar",...
N2388,1530,448,III 900,...,07,19,46,,+3.92,55,54.1,,+7.0,"vF, S, R, bM",*
N2389,1531,449,III 901,...,07,19,57,,+3.92,55,51.6,,+7.0,"vF, S, R, psbM",*
N2390,5385,...,...,Ball (R),07,19,58,,+3.92,55,53.2,,+7.0,vF,...
N2391,5386,...,...,Ball (R),07,20,03,,+3.92,55,54.0,,+7.0,eF,...
N2392,1532,450,IV 45,Greenwch IX yr C,07,20,53,,+3.56,68,48.3,,+7.0,"B, S, R, *9 M, *8 nf 100""",#
N2393,...,...,...,St XIII,07,20,56,,+3.92,55,41.3,,+7.0,"eF, pS, lE, dif, r?",...
N2394,1533,...,VIII 44,...,07,21,03,,+3.23,82,41.0,,+7.0,"Cl, L, P, vlC, st L",*
N2395,1534,...,VIII 11,...,07,21,12,,+3.38,75,56.9,,+7.1,"Cl, pRi, C",...
N2396,1535,451,VIII 36,...,07,21,39,,+2.82,101,27.5,,+7.1,"Cl, vL, vlC",...
N2397,1536,3085,...,...,07,21,42,,-0.15,158,43.9,,+7.0,"pB, cL, cE 117d, lbM",...
N2398,...,...,...,St XIII,07,21,46,,+3.65,65,13.7,,+7.1,"vF, eS, bM, r?",...
N2399,1537,...,...,Bond,07,22,41,,+3.07,89,55.6,,+7.2,}Two F neb (Auw 24 & 25) ? vS clusters,*
N2400,1538,...,...,Bond,07,22,46,,+3.07,89,55.7,,+7.2,}Two F neb (Auw 24 & 25) ? vS clusters,*
N2401,1539,454,VII 65,...,07,22,57,,+2.77,103,41.4,,+7.2,"Cl, S, cRi, cC, st vS",...
N2402,1540,453,III 19,...,07,23,06,,+3.29,80,03.4,,+7.2,"eF, S, R, lbM, * inv",...
N2403,1541,...,V 44,...,07,23,15,,+5.86,24,06.2,,+7.3,"!! cB, cL, vmE, vgmbMN",...
N2404,...,...,...,Bigourdan,07,23,28,,+5.86,24,00.0,,+7.3,"vF, vS",...
N2405,5387,...,...,m 105,07,23,38,,+3.69,63,49,,+7.3,"vF, S, iR",...
N2406,...,...,...,St XIII,07,23,40,,+3.49,71,25.3,,+7.3,"eF, eS, vSN?",...
N2407,...,...,...,St XIII,07,23,49,,+3.49,71,22.5,,+7.3,"eF, eS, vSN?",...
N2408,1542,452,...,...,07,24,36,,+6.90,18,01.6,,+7.4,"Cl, vlC",...
N2409,1543,3086,...,...,07,25,22,,+2.69,106,54.3,,+7.4,"Cl, S but B, st 8...10",...
N2410,5388,...,...,St VIII,07,26,00,,+3.88,56,52.6,,+7.5,"eF, vS, sev vF st inv",...
N2411,...,...,...,St XIII,07,26,29,,+3.49,71,25.1,,+7.5,*14 slightly nebs,...
N2412,...,...,...,J G Lohse,07,26,45,,+3.26,81,09.4,,+7.5,"vF, *8 f 59sec, 1.5's, *13 s 10""",...
N2413,1544,...,VIII 52,...,07,26,50,,+2.79,102,47.8,,+7.5,"Cl, vL, P, vlC",...
N2414,1545,455,VIII 37,...,07,26,50,,+2.74,105,08.8,,+7.5,"Cl, P, lC, st 9, &c",...
N2415,1546,456,II 821,...,07,27,43,,+3.95,54,28.4,,+7.6,"pB, cS, R, vgvlbM, r, alm PN",...
N2416,5389,...,...,m 106,07,28,05,,+3.33,78,06,,+7.6,"eF, S",...
N2417,1547,3087,...,...,07,28,25,,+0.74,151,57.8,,+7.6,"vF, L, R, gbM, r",...
N2418,5390,...,...,St VIII,07,28,31,,+3.48,71,48.6,,+7.6,"vF, eS, bM",...
N2419,1548,457,I 218,...,07,28,39,,+4.08,50,48.6,,+7.7,"pB, pL, lE 90d, vgbM, *7-8 267d, 4' dist",...
N2420,1549,458,VI 1,...,07,30,06,,+3.57,68,07.2,,+7.8,"Cl, cL, Ri, C, st 11...18",...
N2421,1550,3089,VII 67,...,07,30,10,,+2.62,110,18.0,,+7.8,"Cl, L, cRi, st 11...13",...
N2422,1551,459=3088,VIII 38,...,07,30,11,,+2.76,104,10.5,,+7.8,"Cl, B, vL, pRi, st L and S",...
N2423,1552,3090,VII 28,...,07,30,38,,+2.77,103,32.9,,+7.8,"Cl, vL, Ri, pC, st vS",...
N2424,...,...,...,St XIII,07,31,09,,+4.09,50,27.0,,+7.9,"vE, pS, mE, lbM, r?",...
N2425,1553,...,VIII 87,...,07,31,52,,+2.75,104,35.2,,+7.9,"Cl, P, S, st vS",...
N2426,1554,460,II 822,...,07,32,27,,+4.68,37,20.8,,+8.0,"cF, R, vgbM, r, *8 p",...
N2427,1555,3091,...,...,07,32,32,,+1.74,137,18.5,,+7.9,"eF, L, pmE, gmbM, 2 st inv",...
N2428,1556,...,VIII 47,...,07,32,56,,+2.71,106,11.8,,+8.0,"Cl, vL, vlC",...
N2429,5391,...,...,Copeland (R),07,32,56,,+4.68,37,18.6,,+8.0,"pF, pS, vmE, *12 att",...
N2430,1557,...,VIII 46,...,07,33,05,,+2.72,106,01.8,,+8.0,"Cl, vL, vlC",...
N2431,1558,...,III 829,...,07,34,27,,+4.71,36,35.0,,+8.2,"eF, vS, R, bM",...
N2432,1559,3092,VI 36,...,07,34,42,,+2.66,108,45.6,,+8.1,"Cl, pL, pC, E 0d, st L and S",...
N2433,1560,462,...,...,07,35,05,,+3.28,80,24.8,,+8.2,"eF, *15, 90"" sp",*
N2434,1561,3096,...,...,07,35,10,,-0.12,158,58.1,,+8.1,"pB, S, R, pmbM, 3 st 11 n",...
N2435,1562,...,II 616,...,07,35,18,,+3.83,58,01.2,,+8.2,"F, S, lbM",...
N2436,1563,461,...,...,07,35,19,,+4.65,37,35.9,,+8.2,"vF, vS, R, bM",...
N2437,1564,463,...,M 46,07,35,24,,+2.76,104,29.8,,+8.2,"!, Cl, vB, vRi, vL, inv PN",...
N2438,1565,464=3093,IV 39,...,07,35,26,,+2.76,104,25.0,,+8.2,"PN, pB, pS, vlE, r, 3.75sec [RA] d[iam]",#
N2439,1566,3094,...,...,07,35,26,,+2.33,121,19.8,,+8.2,"Cl, B, pRi, pL, lC, st 9,12...14",...
N2440,1567,3095,IV 64,...,07,35,40,,+2.68,107,53.0,,+8.2,"PN, cB, not v well def",#
N2441,...,...,...,T VI,07,36,26,,+7.12,16,40.7,,+8.4,"vF, pS",...
N2442,1568,3097,...,...,07,36,44,,-0.15,159,12.8,,+8.2,"cL, vF, R} D neb, 40d",...
N2443,1569,3097,...,...,07,36,44,,-0.15,159,12.8,,+8.2,"pL, vF, R} D* inv M",...
N2444,5392,...,...,St VIII,07,37,26,,+4.07,50,37.9,,+8.4,"vF, mbM",...
N2445,5393,...,...,St VIII,07,37,28,,+4.07,50,38.9,,+8.4,"vF, mbM, S * att s",...
N2446,1570,465,...,...,07,37,36,,+4.80,35,03.2,,+8.4,"F, am 4 st",...
N2447,1571,3098,...,M 93,07,38,39,,+2.54,113,32.7,,+8.4,"Cl, L, pRi, lC, st 8...13",...
N2448,1572,466,...,Lal 15134,07,38,41,,+2.52,114,21.2,,+8.4,Cl of 18 or 20 st 11...13,...
N2449,5394,...,...,St VI,07,38,45,,+3.70,62,43.8,,+8.5,"cF, eS, R, bM, r",...
N2450,...,...,...,St IX,07,38,55,,+3.70,62,38.3,,+8.5,"eF, vS, S * inv",...
N2451,1573,3099,...,...,07,40,19,,+2.14,127,38.3,,+8.6,"Cl, vvL, vlC, 1 * 4.5m",...
N2452,1574,3100,...,...,07,41,47,,+2.46,117,00.1,,+8.7,"PN, F, S, lE, am 60 st",...
N2453,1575,3101,...,...,07,41,57,,+2.46,116,54.4,,+8.7,"Cl, S, pRi, pC",...
N2454,5395,...,...,St VI,07,42,35,,+3.43,73,16.9,,+8.8,"vF, eS, R, bM",...
N2455,1576,3102,...,...,07,42,52,,+2.61,110,57.1,,+8.8,"Cl, cL, pRi, lC, st 12",...
N2456,1577,467,...,...,07,42,57,,+4.83,34,09.4,,+8.8,"vF, R, vgbM",...
N2457,5396,...,...,Copeland (R),07,43,37,,+4.84,34,06.2,,+8.9,"F, pL, R, h 467 sp",...
N2458,1581,...,...,"Ld R, Bigourdan",07,44,04,,+4.91,32,56.0,,+8.9,"vF, *12 close",...
N2459,1578,468,III 479,...,07,44,24,,+3.28,80,05.5,,+8.9,"vF, S, rr group + neb",*
N2460,...,...,...,T VI,07,44,56,,+5.19,29,15.7,,+9.0,"F, S, R, S * in centre",...
N2461,1582,...,...,"Ld R, Bigourdan",07,45,23,,+4.91,32,58.2,,+9.0,* 13 slightly nebulous,...
N2462,1583,...,...,"Ld R, Bigourdan",07,45,29,,+4.91,32,58.0,,+9.0,"vF, vS, vlbM",...
N2463,1579,469,...,...,07,45,48,,+4.91,32,57.7,,+9.1,"eF, R",...
N2464,1584,...,...,"Ld R, Bigourdan",07,45,58,,+4.91,32,58.0,,+9.1,"pS, Cl, st eF, nebulous",...
N2465,1585,...,...,"Ld R, Bigourdan",07,46,19,,+4.91,32,52.7,,+9.1,"*, nebulous?",...
N2466,1580,3104,...,...,07,46,21,,-0.42,161,03.6,,+9.0,"vF, S, R, lbM",...
N2467,1589,472,IV 22,...,07,46,40,,+2.49,116,02.0,,+9.1,"pB, vL, R, er, *8 M",...
N2468,5397,...,...,d'A,07,46,41,,+4.87,33,16.5,,+9.1,"F, R, bM",...
N2469,1590,470,III 836,...,07,46,42,,+4.91,32,57.1,,+9.1,"F, vS, R, *9 sf",...
N2470,...,...,...,Sw V,07,46,51,,+3.17,85,10.9,,+9.1,"eF, S, lE, bet 2 st",...
